IATA_code,ICAO_code,AIRPORT_NAME
AML,,Puerto Armuelles Airport
AMM,OJAI,Queen Alia International Airport
AMN,KAMN,Gratiot Community Airport
AMO,FTTU,Mao Airport
AMP,FMSY,Ampanihy Airport
AMQ,WAPP,Pattimura Airport
AMS,EHAM,Amsterdam Airport Schiphol
AMT,YAMT,Amata Airport
AMU,AYAM,Amanab Airport
AMV,ULDD,Amderma Airport
AMW,KAMW,Ames Municipal Airport
AMX,,Ammaroo Airport
AMY,,Ambatomainty Airport
AMZ,NZAR,Ardmore Airport
ANA,,Angama Airstrip
ANB,KANB,Anniston Regional Airport
ANC,PANC,Ted Stevens Anchorage International Airport
AND,KAND,Anderson Regional Airport
ANE,LFJR,Angers – Loire Airport
ANF,SCFA,Cerro Moreno International Airport
ANG,LFBU,Angoulême – Cognac International Airport
ANI,PANI,Aniak Airport
ANJ,FCBZ,Zanaga Airport
ANK,LTAD,Etimesgut Air Base
ANL,,Andulo Airport
ANM,FMNH,Antsirabato Airport
ANN,PANT,Annette Island Airport
ANO,FQAG,Angoche Airport
ANP,KANP,Lee Airport
ANQ,KANQ,Tri-State Steuben County Airport
ANR,EBAW,Antwerp International Airport
ANS,SPHY,Andahuaylas Airport
ANU,TAPA,V. C. Bird International Airport
ANV,PANV,Anvik Airport
ANW,KANW,Ainsworth Regional Airport
ANX,ENAN,"Andøya Airport, Andenes"
ANY,KANY,Anthony Municipal Airport
ANZ,,Angus Downs Airport
AOA,,Aroa Airport
AOB,,Annanberg Airport
AOC,EDAC,Leipzig–Altenburg Airport
AOD,,Abou-Deïa Airport
AOE,LTBY,Anadolu Airport
AOG,ZYAS,Anshan Teng'ao Airport
AOH,KAOH,Lima Allen County Airport
AOI,LIPY,Ancona Falconara Airport
AOJ,RJSA,Aomori Airport
AOK,LGKP,Karpathos Island National Airport
AOL,SARL,Paso de los Libres Airport
AOM,,Adam Airport[1]
AON,,Arona Airport
AOO,KAOO,Altoona–Blair County Airport
AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport
AOR,WMKA,Sultan Abdul Halim Airport
AOS,,Amook Bay Seaplane Base (FAA: AK81)
AOT,LIMW,Aosta Valley Airport
AOU,VLAP,Attapeu International Airport
APA,KAPA,Centennial Airport
APB,SLAP,Apolo Airport
APC,KAPC,Napa County Airport
APF,KAPF,Naples Municipal Airport
APG,KAPG,Phillips Army Airfield
APH,KAPH,A.P. Hill Army Airfield
API,SKAP,Captain Luis F. Gómez Niño Air Base
APK,NTGD,Apataki Airport
APL,FQNP,Nampula Airport
APN,KAPN,Alpena County Regional Airport
APO,SKLC,Antonio Roldán Betancourt Airport
APP,,Asapa Airport
APQ,SNAL,Arapiraca Airport
APR,AYPE,April River Airport
APS,SWNS,Anápolis Airport
APT,KAPT,Marion County Airport (Brown Field)
APU,SSAP,Apucarana Airport
APV,KAPV,Apple Valley Airport
APW,NSFA,Faleolo International Airport
APX,SSOG,Arapongas Airport
APY,SNAI,Alto Parnaíba Airport
APZ,SAHZ,Zapala Airport
AQA,SBAQ,Araraquara Airport
AQB,MGQC,Quiché Airport
AQG,ZSAQ,Anqing Tianzhushan Airport
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport
AQJ,OJAQ,King Hussein International Airport
AQM,,Ariquemes Airport
AQP,SPQU,Rodríguez Ballón International Airport
AQS,,Saqani Airport
AQY,,Girdwood Airport[1]
ARA,KARA,Acadiana Regional Airport
ARB,KARB,Ann Arbor Municipal Airport
ARC,PARC,Arctic Village Airport
ARD,WATM,Alor Island Airport
ARE,TJAB,Antonio (Nery) Juarbe Pol Airport (FAA: ABO)
ARF,,Acaricuara Airport
ARG,KARG,Walnut Ridge Regional Airport
ARH,ULAA,Talagi Airport
ARI,SCAR,Chacalluta International Airport
ARJ,WAJA,Arso Airport
ARK,HTAR,Arusha Airport
ARL,DFER,Arly Airport
ARM,YARM,Armidale Airport
ARN,ESSA,Stockholm Arlanda Airport
