IATA_code,ICAO_code,AIRPORT_NAME
RWN,UKLR,Rivne International Airport
RXA,,Ar Rawdah Airport[1]
RXE,KRXE,Rexburg–Madison County Airport
RXS,RPVR,Roxas Airport
RYB,UUBK,Staroselye Airport
RYG,ENRY,"Moss Airport, Rygge / Rygge Air Station"
RYK,OPRK,Shaikh Zayed International Airport[1]
RYL,,Royal Airstrip[1]
RYN,LFCY,Royan – Médis Aerodrome
RYO,SAWT,Rio Turbio Airport[1]
RZA,SAWU,Santa Cruz Airport[1]
RZE,EPRZ,Rzeszów–Jasionka Airport
RZN,UUWR,Turlatovo Airport
RZP,RPSD,Cesar Lim Rodriguez Airport
RZR,OINR,Ramsar International Airport[1]
RZS,OPSW,Sawan Airport[1]
RZZ,KRZZ,Halifax County Airport
SAA,KSAA,Shively Field
SAB,TNCS,Juancho E. Yrausquin Airport
SAC,KSAC,Sacramento Executive Airport
SAD,KSAD,Safford Regional Airport
SAF,KSAF,Santa Fe Municipal Airport
SAG,,Shirdi Airport
SAH,OYSN,Sana'a International Airport (El Rahaba Airport)
SAK,BIKR,Sauðárkrókur Airport
SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport
SAM,,Salamo Airport[1]
SAN,KSAN,San Diego International Airport
SAO[1],,metropolitan area1
SAP,MHLM,Ramón Villeda Morales International Airport
SAQ,MYAN,San Andros Airport[1]
SAR,KSAR,Sparta Community Airport (Hunter Field)
SAS,KSAS,Salton Sea Airport
SAT,KSAT,San Antonio International Airport
SAU,WATS,Tardamu Airport
SAV,KSAV,Savannah/Hilton Head International Airport
SAW,LTFJ,Sabiha Gökçen International Airport
SAX,,Sambú Airport[1]
SAY,LIQS,Siena–Ampugnano Airport
SAZ,GLST,Sasstown Airport
SBA,KSBA,Santa Barbara Municipal Airport
SBB,SVSB,Santa Bárbara de Barinas Airport[1]
SBC,AYSO,Selbang Airport[1]
SBD,KSBD,San Bernardino International Airport
SBE,AYSA,Suabi Airport[1]
SBF,OADS,Sardeh Band Airport
SBG,WITN,Maimun Saleh Airport[1]
SBH,TFFJ,Gustaf III Airport
SBI,GUSB,Sambailo Airport
SBJ,SNMX,São Mateus Airport[1]
SBK,LFRT,Saint-Brieuc – Armor Airport
SBL,SLSA,Santa Ana del Yacuma Airport
SBM,KSBM,Sheboygan County Memorial Airport
SBN,KSBN,South Bend International Airport
SBO,,Salina-Gunnison Airport[1] (FAA: 44U)
SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
SBQ,OPSB,Sibi Airport[1]
SBR,YSII,Saibai Island Airport[1]
SBS,KSBS,Steamboat Springs Airport (Bob Adams Field)
SBT,USDA,Sabetta International Airport[1]
SBU,FASB,Springbok Airport
SBV,AYSH,Sabah Airport[1]
SBW,WBGS,Sibu Airport
SBX,KSBX,Shelby Airport
SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport
SBZ,LRSB,Sibiu International Airport
SCA,,Santa Catalina Airport[1]
SCB,KSCB,Scribner State Airport
SCC,PASC,Deadhorse Airport
SCD,MHUL,Sulaco Airport
SCE,KUNV,University Park Airport (FAA: UNV)
SCF,KSDL,Scottsdale Airport (FAA: SDL)
SCG,YSPK,Spring Creek Airport[1]
SCH,KSCH,Schenectady County Airport
SCI,SVPM,Paramillo Airport[1]
SCK,KSCK,Stockton Metropolitan Airport
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport
SCM,PACM,Scammon Bay Airport
SCN,EDDR,Saarbrücken Airport
SCO,UATE,Aktau Airport
SCP,LFNC,Mont-Dauphin - Saint-Crépin Airport[1]
SCQ,LEST,Santiago de Compostela Airport
SCR,,Scandinavian Mountains Airport
SCS,EGPM,Scatsta Airport
SCT,OYSQ,Socotra Airport[1]
SCU,MUCU,Antonio Maceo International Airport
SCV,LRSV,Suceava International Airport (Ștefan cel Mare Int'l)
SCW,UUYY,Syktyvkar Airport
SCX,MMSZ,Salina Cruz Airport
SCY,SEST,San Cristóbal Airport
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport[1]
SDB,FALW,Air Force Base Langebaanweg[1]
SDC,,Sand Creek Airport
SDD,FNUB,Lubango Mukanka Airport
SDE,SANE,Vicecomodoro Ángel de la Paz Aragonés Airport
SDF,KSDF,Louisville International Airport (Standiford Field)
SDG,OICS,Sanandaj Airport[1]
SDH,MHSR,Santa Rosa de Copán Airport[1]
SDI,AYSD,Saidor Airport[1]
SDJ,RJSS,Sendai Airport
SDK,WBKS,Sandakan Airport
SDL,ESNN,Sundsvall-Timrå Airport (Midlanda Airport)
SDM,KSDM,Brown Field Municipal Airport
SDN,ENSD,"Sandane Airport, Anda"
SDP,PASD,Sand Point Airport
SDQ,MDSD,Las Américas International Airport
SDR,LEXJ,Santander Airport
SDS,RJSD,Sado Airport[1]
SDT,OPSS,Saidu Sharif Airport[1]
SDU,SBRJ,Santos Dumont Airport
SDV,LLSD,Sde Dov Airport
SDX,KSEZ,Sedona Airport (FAA: SEZ)
SDY,KSDY,Sidney–Richland Municipal Airport
SDZ[1],,metropolitan area2
SEA,KSEA,Seattle–Tacoma International Airport
SEB,HLLS,Sabha Airport[1]
SED,,Sdom Airfield[1] (Hashnayim Airfield)
SEE,KSEE,Gillespie Field
SEF,KSEF,Sebring Regional Airport
SEG,KSEG,Penn Valley Airport
SEH,WAJS,Senggeh Airport
SEK,UESK,Srednekolymsk Airport
SEL[1],,metropolitan area3
SEM,KSEM,Craig Field
SEN,EGMC,London Southend Airport
SEO,DISG,Séguéla Airport[1]
SEP,KSEP,Stephenville Clark Regional Airport
SEQ,WIBS,Sei Pakning Airport
SER,KSER,Freeman Municipal Airport
SEU,HTSN,Seronera Airstrip[1]
SEV,,Severodonetsk Airport[1]
SEW,,Siwa Oasis North Airport[1]
SEY,GQNS,Sélibaby Airport
SEZ,FSIA,Seychelles International Airport
SFA,DTTX,Sfax–Thyna International Airport
SFB,KSFB,Orlando Sanford International Airport
SFC,TFFC,Saint-François Airport[1]
SFD,SVSR,Las Flecheras Airport
SFE,RPUS,San Fernando Airport
SFF,KSFF,Felts Field
SFG,TFFG,L'Espérance Airport[1] (Grand Case Airport)
SFH,MMSF,San Felipe International Airport
SFJ,BGSF,Kangerlussuaq Airport
SFK,SNSW,Soure Airport[1]
SFL,GVSF,São Filipe Airport
SFM,KSFM,Sanford Seacoast Regional Airport
SFN,SAAV,Sauce Viejo Airport[1]
SFO,KSFO,San Francisco International Airport
SFQ,LTCH,Şanlıurfa Airport
SFS,RPLB,Subic Bay International Airport
SFT,ESNS,Skellefteå Airport
SFU,,Safia Airport[1]
SFV,,Santa Fé do Sul Airport[1]
SFX,,Macagua Airport[1]
SFY[1],,metropolitan area4
SFZ,KSFZ,North Central State Airport
SGA,OASN,Sheghnan Airport
SGB,,Singaua Airport[1]
SGC,USRR,Surgut International Airport
SGD,EKSB,Sønderborg Airport
SGE,EDGS,Siegerland Airport
SGF,KSGF,Springfield–Branson National Airport
SGH,KSGH,Springfield–Beckley Municipal Airport
SGI,OPSR,PAF Base Mushaf[1]
SGJ,,Sagarai Airport[1]
SGK,AYSK,Sangapi Airport
SGL,RPLS,Danilo Atienza Air Base
SGM,,San Ignacio Airfield[1]
SGN,VVTS,Tan Son Nhat International Airport
SGO,YSGE,St George Airport[1]
SGP,YSHG,Shay Gap Airport[1]
SGQ,WRLA,Sangkimah Airport[1]
SGR,KSGR,Sugar Land Regional Airport
SGT,KSGT,Stuttgart Municipal Airport
SGU,KSGU,St. George Regional Airport
SGV,SAVS,Sierra Grande Airport[1]
SGW,,Saginaw Seaplane Base[1] (FAA: A23)
SGX,HTSO,Songea Airport[1]
SGY,PAGY,Skagway Airport
SGZ,VTSH,Songkhla Airport[1]
SHA,ZSSS,Shanghai Hongqiao International Airport
SHB,RJCN,Nakashibetsu Airport
SHC,,Shire Airport[1]
SHD,KSHD,Shenandoah Valley Regional Airport
SHE,ZYTX,Shenyang Taoxian International Airport
SHF,ZWHZ,Shihezi Huayuan Airport
SHG,PAHG,Shungnak Airport
SHH,PASH,Shishmaref Airport
SHI,RORS,Shimojishima Airport
SHJ,OMSJ,Sharjah International Airport
SHK,FXSH,Sehonghong Airport[1]
SHL,VEBI,Shillong Airport (Barapani Airport)
SHM,RJBD,Nanki–Shirahama Airport
SHN,KSHN,Sanderson Field
SHO,FDSK,King Mswati III International Airport[1] (Sikhuphe Int'l)
SHQ,YSPT,Southport Airport[1]
SHR,KSHR,Sheridan County Airport
SHS,ZHSS,Shashi Airport
SHT,YSHT,Shepparton Airport
SHU,YSMP,Smith Point Airport[1]
SHV,KSHV,Shreveport Regional Airport
SHW,OESH,Sharurah Domestic Airport
SHX,PAHX,Shageluk Airport
SHY,HTSY,Shinyanga Airport[1]
SHZ,FXSS,Seshutes Airport[1]
SIA,ZLSN,Xi'an Xiguan Airport
SIB,FCBS,Sibiti Airport[1]
SIC,,San José Airport[1]
SID,GVAC,Amílcar Cabral International Airport
SIE,LPSI,Sines Airport[1]
SIF,VNSI,Simara Airport[1]
SIG,TJIG,Fernando Luis Ribas Dominicci Airport
SIH,VNDT,Silgadhi Airport[1]
SII,GMMF,Sidi Ifni Airport (Sania Ramel Airport)
SIJ,BISI,Siglufjörður Airport
SIK,KSIK,Sikeston Memorial Municipal Airport
SIL,AYSG,Sila Airport[1]
SIM,AYSJ,Simbai Airport[1]
SIN,WSSS,Singapore Changi Airport
SIO,YSMI,Smithton Airport
SIP,UKFF,Simferopol International Airport
SIQ,WIDS,Dabo Singkep Airport[1]
SIR,LSGS,Sion Airport
SIS,FASS,Sishen Airport
SIT,PASI,Sitka Rocky Gutierrez Airport
SIU,MNSI,Siuna Airport
SIV,KSIV,Sullivan County Airport
SIW,WIMP,Sibisa Airport[1]
SIX,YSGT,Singleton Airport[1]
SIY,KSIY,Siskiyou County Airport
SIZ,AYZN,Sissano Airport[1]
SJA,SPJN,San Juan de Marcona Airport[1]
SJB,SLJO,San Joaquín Airport[1]
SJC,KSJC,San Jose International Airport
SJD,MMSD,Los Cabos International Airport
SJE,SKSJ,Jorge Enrique González Torres Airport
SJF,,Cruz Bay Seaplane Base[1]
SJG,,San Pedro de Jagua Airport[1]
SJH,,San Juan del Cesar Airport[1]
SJI,RPUH,San Jose Airport
SJJ,LQSA,Sarajevo International Airport
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport
SJL,SBUA,São Gabriel da Cachoeira Airport[1]
SJN,KSJN,St. Johns Industrial Air Park
SJO,MROC,Juan Santamaría International Airport
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport
SJQ,FLSS,Sesheke Airport[1]
SJR,,San Juan de Urabá Airport[1]
SJS,SLJE,San José de Chiquitos Airport[1]
SJT,KSJT,San Angelo Regional Airport (Mathis Field)
SJU,TJSJ,Luis Muñoz Marín International Airport
SJV,SLJV,San Javier Airport[1]
SJW,ZBSJ,Shijiazhuang Zhengding International Airport
SJX,,Sarteneja Airport
SJY,EFSI,Seinäjoki Airport
SJZ,LPSJ,São Jorge Airport
SKA,KSKA,Fairchild Air Force Base
SKB,TKPK,Robert L. Bradshaw International Airport
SKC,AYSU,Suki Airport[1]
SKD,UTSS,Samarkand International Airport[1]
SKE,ENSN,"Skien Airport, Geiteryggen"
SKF,KSKF,Kelly Field Annex / Lackland Air Force Base
SKG,LGTS,"Thessaloniki Airport ""Macedonia"""
SKH,VNSK,Surkhet Airport[1]
SKI,DABP,Skikda Airport
SKK,PFSH,Shaktoolik Airport (FAA: 2C7)
SKL,EGEI,Broadford Airfield[1]
SKM,,Skeldon Airport[1]
SKN,ENSK,"Stokmarknes Airport, Skagen"
SKO,DNSO,Sadiq Abubakar III International Airport[1]
SKP,LWSK,"Skopje ""Alexander the Great"" Airport"
SKQ,FXSK,Sekake Airport[1]
SKR,HASK,Shakiso Airport[1]
SKS,EKSP,Vojens Airport (Skrydstrup Airport)
SKT,OPST,Sialkot International Airport
SKU,LGSY,Skyros Island National Airport
SKV,HESC,St. Catherine International Airport
SKW,PASW,Skwentna Airport
SKX,UWPS,Saransk Airport
SKY,KSKY,Griffing Sandusky Airport
SKZ,OPSK,Sukkur Airport
SLA,SASA,Martín Miguel de Güemes International Airport
SLB,KSLB,Storm Lake Municipal Airport
SLC,KSLC,Salt Lake City International Airport
SLD,LZSL,Sliač Airport
SLE,KSLE,McNary Field
SLF,OESL,Sulayel Airport[1]
SLG,KSLG,Smith Field
SLH,NVSC,Vanua Lava Airport
SLI,FLSW,Solwezi Airport
SLJ,YSOL,Solomon Airport
SLK,KSLK,Adirondack Regional Airport
SLL,OOSA,Salalah International Airport
SLM,LESA,Salamanca Airport
SLN,KSLN,Salina Regional Airport
SLO,KSLO,Salem–Leckrone Airport
SLP,MMSP,Ponciano Arriaga International Airport
SLQ,PASL,Sleetmute Airport
SLR,KSLR,Sulphur Springs Municipal Airport
SLS,LBSS,Silistra Airfield
SLT,KANK,Harriet Alexander Field (FAA: ANK)
SLU,TLPC,George F. L. Charles Airport
SLV,VISM,Shimla Airport
SLW,MMIO,Plan de Guadalupe International Airport
SLX,MBSY,Salt Cay Airport[1]
SLY,USDD,Salekhard Airport
SLZ,SBSL,Marechal Cunha Machado International Airport
SMA,LPAZ,Santa Maria Airport
SMB,SCSB,Franco Bianco Airport[1]
SMC,,Santa María Airport[1]
SMD,KSMD,Smith Field
SME,KSME,Lake Cumberland Regional Airport
SMF,KSMF,Sacramento International Airport
SMG,SPMR,Santa María Airport[1]
SMH,AYSP,Sapmanga Airport
SMI,LGSM,"Samos International Airport ""Aristarchos of Samos"""
SMJ,,Sim Airport[1]
SMK,PAMK,St. Michael Airport
SML,MYLS,Stella Maris Airport[1]
SMM,WBKA,Semporna Airport
SMN,KSMN,Lemhi County Airport
SMO,KSMO,Santa Monica Municipal Airport
SMP,,Stockholm Airport[1]
SMQ,WAOS,H. Asan Airport
SMR,SKSM,Simón Bolívar International Airport
SMS,FMMS,Sainte Marie Airport
SMU,PASP,Sheep Mountain Airport
SMV,LSZS,Samedan Airport (Engadin Airport)
SMW,GMMA,Smara Airport[1]
SMX,KSMX,Santa Maria Public Airport (Capt. G. Allan Hancock Field)
SMY,GOTS,Simenti Airport
SMZ,SMST,Stoelmans Eiland Airstrip
SNA,KSNA,John Wayne Airport (Orange County Airport)
SNB,YSNB,Snake Bay Airport
SNC,SESA,General Ulpiano Paez Airport
SNE,GVSN,Preguiça Airport
SNF,SVSP,Sub Teniente Nestor Arias Airport[1]
SNG,SLSI,Capitán Av. Juan Cochamanidis Airport[1]
SNH,YSPE,Stanthorpe Airport
SNI,GLGE,Greenville/Sinoe Airport (R.E. Murray Airport)
SNJ,MUSJ,San Julián Air Base[1]
SNK,KSNK,Winston Field Airport
SNL,KSNL,Shawnee Regional Airport
SNM,SLSM,San Ignacio de Moxos Airport[1]
SNN,EINN,Shannon Airport
SNO,VTUI,Sakon Nakhon Airport[1]
SNP,PASN,St. Paul Island Airport
SNQ,,San Quintín Military Airstrip[1]
SNR,LFRZ,Saint-Nazaire Montoir Airport
SNS,KSNS,Salinas Municipal Airport
SNT,SKRU,Las Cruces Airport[1]
SNU,MUSC,Abel Santamaría Airport
SNV,SVSE,Santa Elena de Uairén Airport[1]
SNW,VYTD,Thandwe Airport[1]
SNX,OIIS,Semnan Municipal Airport[1]
SNY,KSNY,Sidney Municipal Airport (Lloyd W. Carr Field)
SNZ,SBSC,Santa Cruz Air Force Base
SOA,,Sóc Trăng Airfield[1]
SOB,LHSM,Hévíz–Balaton Airport
SOC,WARQ,Adisumarmo International Airport
SOD,SDCO,Bertram Luiz Leupolz–Sorocaba Airport
SOE,FCOS,Souanké Airport[1]
SOF,LBSF,Sofia Airport
SOG,ENSG,"Sogndal Airport, Haukåsen"
SOJ,ENSR,Sørkjosen Airport
SOK,FXSM,Semonkong Airport
SOL,,Solomon State Field Airport[1] (FAA: AK26)
SOM,SVST,San Tomé Airport
SON,NVSS,Santo-Pekoa International Airport
SOO,ESNY,Söderhamn Airport[1] (Helsinge Airport)
SOP,KSOP,Moore County Airport
SOQ,WASS,Dominique Edward Osok Airport[1]
SOT,EFSO,Sodankylä Airfield[1]
SOU,EGHI,Southampton Airport
SOV,PASO,Seldovia Airport
SOW,KSOW,Show Low Regional Airport
SOX,SKSO,Alberto Lleras Camargo Airport[1]
SOY,EGER,Stronsay Airport
SOZ,LFKS,Solenzara Air Base[1]
SPA,KSPA,Spartanburg Downtown Memorial Airport
SPB,,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22)
SPC,GCLA,La Palma Airport
SPD,VGSD,Saidpur Airport
SPE,WBKO,Sepulot Airport[1]
SPF,KSPF,Black Hills Airport (Clyde Ice Field)
SPG,KSPG,Albert Whitted Airport
SPH,AYQO,Sopu Airport
SPI,KSPI,Abraham Lincoln Capital Airport
SPJ,LGSP,Sparti Airport
SPK[1],,metropolitan area5
SPM,ETAD,Spangdahlem Air Base
SPN,PGSN,Saipan International Airport (Francisco C. Ada Int'l) (FAA: GSN)
SPP,FNME,Menongue Airport[1]
SPR,,John Greif II Airport
SPS,KSPS,Sheppard Air Force Base / Wichita Falls Municipal Airport
SPT,,Sipitang Airstrip[1]
SPU,LDSP,Split Airport
SPV,,Sepik Plains Airport[1]
SPW,KSPW,Spencer Municipal Airport
SPY,DISP,San Pédro Airport[1]
SPX,,Sphinx International Airport[1]
SPZ,KASG,Springdale Municipal Airport (FAA: ASG)
SQA,KIZA,Santa Ynez Airport (FAA: IZA)
SQB,,Santa Ana Airport[1]
SQC,YSCR,Southern Cross Airport[1]
SQD,ZSSR,Shangrao Sanqingshan Airport[1]
SQE,,San Luis de Palenque Airport[1]
SQG,WIOS,Sintang Airport[1] (Susilo Airport)
SQH,VVNS,Nà Sản Airport[1]
SQI,KSQI,Whiteside County Airport (Jos. H. Bittorf Field)
SQJ,,Sanming Shaxian Airport[1]
SQK,,Sidi Barrani Airport[1]
SQL,KSQL,San Carlos Airport
SQM,SWUA,São Miguel do Araguaia Airport[1]
SQN,WAPN,Sanana Airport[1]
SQO,ESUD,Storuman Airport[1]
SQQ,EYSA,Šiauliai International Airport
SQR,WAWS,Soroako Airport
SQS,,Matthew Spain Airport[1]
SQT,,China Strait Airstrip[1]
SQU,SPOA,Saposoa Airport[1]
SQV,,Sequim Valley Airport (FAA: W28)
SQW,EKSV,Skive Airport
SQX,SSOE,Hélio Wasum Airport
SQY,SSRU,São Lourenço do Sul Airport[1]
SQZ,EGXP,RAF Scampton[1]
SRA,SSZR,Santa Rosa Airport[1]
SRB,SLSR,Santa Rosa Airport[1]
SRC,KSRC,Searcy Municipal Airport
SRD,SLRA,San Ramón Airport[1]
SRE,SLAL,Alcantarí Airport
SRF,,San Rafael Airport (Hamilton Field)
SRG,WARS,Achmad Yani International Airport
SRH,FTTA,Sarh Airport
SRI,WALS,Temindung Airport
SRJ,SLSB,Capitán Germán Quiroga Guardia Airport
SRL,,Palo Verde Airport[1]
SRM,,Sandringham Station Airport[1]
SRN,YSRN,Strahan Airport[1]
SRO,,Santana Ramos Airport[1]
SRP,ENSA,"Stord Airport, Sørstokken"
SRQ,KSRQ,Sarasota–Bradenton International Airport
SRR,,Dunwich Airport[1]
SRS,,San Marcos Airport[1]
SRT,HUSO,Soroti Airport
SRV,,Stony River Airport
SRW,KRUQ,Rowan County Airport (FAA: RUQ)
SRX,HLGD,Gardabya Airport
SRY,OINZ,Dasht-e Naz Airport
SRZ,SLET,El Trompillo Airport
SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport
SSB,,Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) (FAA: VI32)
SSC,KSSC,Shaw Air Force Base
SSD,,San Felipe Airport[1]
SSE,VASL,Solapur Airport
SSF,KSSF,Stinson Municipal Airport
SSG,FGSL,Malabo International Airport (Saint Isabel Airport)
SSH,HESH,Sharm el-Sheikh International Airport
SSI,KSSI,Malcolm McKinnon Airport
SSJ,ENST,"Sandnessjøen Airport, Stokka"
SSK,,Sturt Creek Airport[1]
SSL,SKSL,Santa Rosalía Airport[1]
SSN,RKSM,Seoul Air Base
SSO,SNLO,São Lourenço Airport[1]
SSP,,Silver Plains Airport[1]
SSQ,,La Sarre Airport (TC: CSR8)
SSR,NVSH,Sara Airport
SSS,,Siassi Airport[1]
SST,SAZL,Santa Teresita Airport[1]
SSV,,Siasi Airport
SSW,,Stuart Island Airpark[1] (FAA: 7WA5)
SSY,FNBC,Mbanza Congo Airport[1]
SSZ,SBST,Santos Air Force Base
STA,EKVJ,Stauning Vestjylland Airport
STB,SVSZ,Miguel Urdaneta Fernández Airport
STC,KSTC,St. Cloud Regional Airport
STD,SVSO,Mayor Buenaventura Vivas Airport
STE,KSTE,Stevens Point Municipal Airport
STF,YSTI,Stephens Island Airport
STG,PAPB,St. George Airport (FAA: PBV)
STH,YSMR,Strathmore Airport[1]
STI,MDST,Cibao International Airport
STJ,KSTJ,Rosecrans Memorial Airport
STK,KSTK,Sterling Municipal Airport
STL,KSTL,Lambert–St. Louis International Airport
STM,SBSN,Santarém-Maestro Wilson Fonseca Airport
STN,EGSS,London Stansted Airport
STO[1],,metropolitan area6
STP,KSTP,St. Paul Downtown Airport (Holman Field)
STQ,KOYM,St. Marys Municipal Airport (FAA: OYM)
STR,EDDS,Stuttgart Airport
STS,KSTS,Charles M. Schulz–Sonoma County Airport
STT,TIST,Cyril E. King Airport
STV,VASU,Surat Airport
STW,URMT,Stavropol Shpakovskoye Airport
STX,TISX,Henry E. Rohlsen Airport
STY,SUSO,Nueva Hespérides International Airport
STZ,SWST,Santa Terezinha Airport[1]
SUA,KSUA,Witham Field
SUB,WARR,Juanda International Airport
SUD,KSUD,Stroud Municipal Airport
SUE,KSUE,Door County Cherryland Airport
SUF,LICA,Lamezia Terme International Airport
SUG,RPMS,Surigao Airport
SUH,OOSR,Sur Airport[1]
SUI,UGSS,Sukhumi Babushara Airport (Dranda Airport)
SUJ,LRSM,Satu Mare International Airport
SUK,UEBS,Sakkyryr Airport
SUL,OPSU,Sui Airport[1]
SUM,KSMS,Sumter Airport (FAA: SMS)
SUN,KSUN,Friedman Memorial Airport
SUO,,Sunriver Airport (FAA: S21)
SUP,WART,Trunojoyo Airport[1]
SUQ,SESC,Sucúa Airport[1]
SUR,,Summer Beaver Airport[1] (TC: CJV7)
SUS,KSUS,Spirit of St. Louis Airport
SUT,HTSU,Sumbawanga Airport
SUU,KSUU,Travis Air Force Base
SUV,NFNA,Nausori International Airport
SUW,KSUW,Richard I. Bong Airport
SUX,KSUX,Sioux Gateway Airport (Colonel Bud Day Field)
SUY,UENS,Suntar Airport[1]
SUZ,,Suria Airport[1]
SVA,PASA,Savoonga Airport
SVB,FMNS,Sambava Airport[1]
SVC,KSVC,Grant County Airport
SVD,TVSA,Argyle International Airport
SVE,KSVE,Susanville Municipal Airport
SVF,DBBS,Savé Airport
SVG,ENZV,"Stavanger Airport, Sola"
SVH,KSVH,Statesville Regional Airport
SVI,SKSV,Eduardo Falla Solano Airport[1]
SVJ,ENSH,"Svolvær Airport, Helle"
SVK,,Silver Creek Airport[1]
SVL,EFSA,Savonlinna Airport[1]
SVM,,St Pauls Airport[1]
SVN,KSVN,Hunter Army Airfield
SVO,UUEE,Sheremetyevo International Airport
SVP,FNKU,Kuito Airport[1]
SVQ,LEZL,Seville Airport
SVS,,Stevens Village Airport
SVT,FBSV,Savuti Airport[1]
SVU,NFNS,Savusavu Airport
SVW,PASV,Sparrevohn LRRS Airport
SVX,USSS,Koltsovo International Airport
SVY,,Savo Airport[1]
SVZ,SVSA,Juan Vicente Gómez International Airport
SWA,ZGOW,Jieyang Chaoshan International Airport
SWB,,Shaw River Airport[1]
SWC,YSWL,Stawell Airport[1]
SWD,PAWD,Seward Airport
SWE,,Siwea Airport[1]
SWF,KSWF,Stewart International Airport
SWG,,Satwag Airport[1]
SWH,YSWH,Swan Hill Airport[1]
SWJ,NVSX,South West Bay Airport[1]
SWL,RPSV,San Vicente Airport
SWM,,Suia-Missu Airport[1]
SWN,OPSW,Sahiwal Airport
SWO,KSWO,Stillwater Regional Airport
SWP,FYSM,Swakopmund Airport[1]
SWQ,WADS,Sultan Muhammad Kaharuddin III Airport[1] (Brangbiji Airport)
SWR,,Silur Airport[1]
SWS,EGFH,Swansea Airport
SWT,UNSS,Strezhevoy Airport
SWU,RKSW,Suwon Air Base[1]
SWV,UHMW,Severo-Evensk Airport[1]
SWW,KSWW,Avenger Field
SWX,FBSW,Shakawe Airport[1]
SWY,WMBA,Sitiawan Airport
SXA,,Sialum Airport[1]
SXB,LFST,Strasbourg Airport
SXE,YWSL,West Sale Airport[1]
SXF,EDDB,Berlin Schönefeld Airport
SXG,FLSN,Senanga Airport[1]
SXH,,Sehulea Airport[1]
SXI,OIBS,Sirri Island Airport[1]
SXJ,ZWSS,Shanshan Airport[1]
SXK,WAPI,Saumlaki Airport[1] (Olilit Airport)
SXL,EISG,Sligo Airport
SXM,TNCM,Princess Juliana International Airport
SXN,FBSN,Sua Pan Airport[1]
SXO,SWFX,São Félix do Araguaia Airport[1]
SXP,,Sheldon Point Airport
SXQ,PASX,Soldotna Airport
SXR,VISR,Sheikh ul Alam International Airport[1]
SXS,WBKH,Sahabat Airport[1]
SXT,WMAN,Sungai Tiang Airport[1]
SXU,HASD,Soddu Airport[1]
SXV,VOSM,Salem Airport
SXW,,Sauren Airport[1]
SXX,SNFX,São Félix do Xingu Airport[1]
SXY,,Sidney Municipal Airport (FAA: N23)
SXZ,LTCL,Siirt Airport
SYA,PASY,Eareckson Air Station
SYB,,Seal Bay Seaplane Base[1]
SYC,SPSY,Shiringayoc Airport[1]
SYD,YSSY,Sydney Airport (Kingsford Smith Airport)
SYE,OYSH,Saadah Airport[1]
SYF,,Silva Bay Seaplane Base
SYI,KSYI,Shelbyville Municipal Airport (Bomar Field)
SYJ,OIKY,Sirjan Airport
SYK,BIST,Stykkishólmur Airport
SYM,ZPSM,Pu'er Simao Airport[1]
SYN,KSYN,Stanton Airfield
SYO,RJSY,Shonai Airport
SYP,MPSA,Ruben Cantu Airport
SYQ,MRPV,Tobías Bolaños International Airport
SYR,KSYR,Syracuse Hancock International Airport
SYS,UERS,Saskylakh Airport[1]
SYT,LFLN,Saint-Yan Airport[1] (Charolais Bourgogne Sud Airport)
SYU,YWBS,Warraber Island Airport[1]
SYV,KSYV,Sylvester Airport
SYW,OPSN,Sehwan Sharif Airport[1]
SYX,ZJSY,Sanya Phoenix International Airport
SYY,EGPO,Stornoway Airport
SYZ,OISS,Shiraz International Airport (Shahid Dastghaib Int'l)
SZA,FNSO,Soyo Airport[1]
SZB,WMSA,Sultan Abdul Aziz Shah Airport
SZE,HASM,Semera Airport[1]
SZF,LTFH,Samsun-Çarşamba Airport
SZG,LOWS,Salzburg Airport
SZI,,Zaysan Airport
SZJ,MUSN,Siguanea Airport[1]
SZK,FASZ,Skukuza Airport[1]
SZL,KSZL,Whiteman Air Force Base
SZM,,Sesriem Airport[1]
SZN,KSZN,Santa Cruz Island Airport
SZP,KSZP,Santa Paula Airport
SZR,LBSZ,Stara Zagora Airport
SZS,NZRC,Ryan's Creek Aerodrome
SZU,,Ségou Airport[1]
SZV,ZSSZ,Suzhou Guangfu Airport
SZW,EDOP,Schwerin-Parchim International Airport
SZX,ZGSZ,Shenzhen Bao'an International Airport
SZY,EPSY,Olsztyn-Mazury Regional Airport
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport"
TAA,,Tarapaina Airport[1]
TAB,TTCP,Arthur Napoleon Raymond Robinson International Airport
TAC,RPVA,Daniel Z. Romualdez Airport
TAD,KTAD,Perry Stokes Airport
TAE,RKTN,Daegu International Airport
TAF,DAOL,Oran Tafaraoui Airport
TAG,RPSP,Bohol–Panglao International Airport
